session_id,user_id,session_start,device,region,campaign_source,is_signup,add_to_cart,cart_items,purchase,purchase_items
S00000066,U000197,2024-12-05 13:52:00,tablet,East,google,False,False,0,False,0
S00000067,U000477,2024-12-03 19:14:00,desktop,West,direct,False,False,0,False,0
S00000068,U000521,2024-11-26 00:36:00,mobile,South,google,False,True,2,True,1
S00000069,U000014,2024-10-31 14:35:00,desktop,Central,google,False,False,0,False,0
S00000070,U000754,2024-12-07 11:44:00,desktop,South,organic,False,False,0,False,0
S00000071,U000022,2024-12-08 19:10:00,mobile,East,organic,False,True,1,True,2
S00000072,U000682,2024-12-01 17:24:00,tablet,West,direct,True,False,0,False,0
S00000073,U000377,2024-10-05 23:36:00,mobile,East,facebook,False,True,1,False,0
S00000074,U000419,2024-12-25 10:22:00,mobile,North,google,True,True,2,True,1
S00000075,U000201,2024-11-09 14:20:00,desktop,Central,facebook,False,False,0,False,0
S00000076,U000209,2024-11-04 19:24:00,mobile,East,google,False,False,0,False,0
S00000077,U000709,2024-11-12 11:58:00,mobile,North,google,True,True,3,True,1
S00000078,U000360,2024-10-22 17:20:00,mobile,West,google,False,False,0,False,0
S00000079,U000722,2024-11-18 06:00:00,mobile,Central,facebook,True,True,1,True,2
S00000080,U000174,2024-10-16 07:18:00,desktop,West,google,True,False,0,False,0
S00000081,U000642,2024-11-07 18:03:00,mobile,South,email,True,False,0,False,0
S00000082,U000390,2024-11-03 00:22:00,desktop,North,facebook,False,False,0,False,0
S00000083,U000238,2024-12-06 23:22:00,desktop,East,facebook,False,True,3,True,2
S00000084,U000490,2024-11-03 02:31:00,tablet,West,facebook,False,False,0,False,0
S00000085,U000672,2024-12-24 13:30:00,mobile,East,organic,True,True,3,False,0
S00000086,U000522,2024-11-05 17:01:00,mobile,South,google,False,False,0,False,0
S00000087,U000225,2024-10-12 19:04:00,desktop,East,direct,True,False,0,False,0
S00000088,U000058,2024-12-25 11:23:00,desktop,North,google,True,False,0,False,0
S00000089,U000358,2024-12-20 13:08:00,mobile,East,google,False,False,0,False,0
S00000090,U000041,2024-10-26 12:33:00,desktop,South,facebook,True,True,1,False,0
S00000091,U000645,2024-12-15 22:52:00,desktop,South,facebook,True,True,1,False,0
S00000092,U000633,2024-11-22 06:09:00,mobile,South,organic,False,True,3,True,1
S00000093,U000010,2024-11-20 20:35:00,mobile,North,facebook,False,True,3,False,0
S00000094,U000068,2024-11-23 01:54:00,mobile,South,organic,False,False,0,False,0
S00000095,U000506,2024-10-20 18:34:00,desktop,South,facebook,False,False,0,False,0
S00000096,U000216,2024-12-05 20:08:00,desktop,South,google,True,False,0,False,0
S00000097,U000477,2024-11-04 02:49:00,mobile,West,google,False,False,0,False,0
S00000098,U000317,2024-11-13 16:16:00,tablet,East,facebook,False,True,1,True,1
S00000099,U000465,2024-12-26 04:53:00,mobile,East,direct,False,False,0,False,0
S00000100,U000793,2024-10-26 14:31:00,desktop,South,google,False,False,0,False,0
S00000101,U000497,2024-12-18 20:06:00,mobile,Central,google,True,False,0,False,0
S00000102,U000525,2024-11-08 02:17:00,desktop,East,facebook,False,False,0,False,0
S00000103,U000363,2024-11-14 01:02:00,desktop,North,google,False,True,2,False,0
S00000104,U000449,2024-10-25 12:17:00,mobile,South,direct,False,True,3,False,0
S00000105,U000038,2024-10-13 12:17:00,mobile,Central,email,False,False,0,False,0
S00000106,U000238,2024-12-01 20:43:00,mobile,North,google,False,False,0,False,0
S00000107,U000669,2024-12-23 04:00:00,desktop,South,organic,True,True,1,True,2
S00000108,U000139,2024-12-04 20:45:00,tablet,Central,email,True,True,3,True,2
S00000109,U000061,2024-12-09 06:55:00,desktop,North,facebook,False,False,0,False,0
S00000110,U000365,2024-10-04 07:19:00,mobile,South,google,False,True,1,False,0
S00000111,U000726,2024-10-03 23:05:00,desktop,East,facebook,False,False,0,False,0
S00000112,U000215,2024-11-30 09:34:00,desktop,East,organic,False,False,0,False,0
S00000113,U000322,2024-12-28 08:03:00,mobile,Central,email,False,True,1,False,0
S00000114,U000394,2024-12-15 09:08:00,mobile,West,google,True,False,0,False,0
S00000115,U000795,2024-12-11 04:47:00,mobile,North,organic,False,True,1,True,2
S00000116,U000039,2024-12-01 18:57:00,desktop,Central,facebook,False,False,0,False,0
S00000117,U000570,2024-12-27 18:15:00,mobile,Central,email,False,False,0,False,0
S00000118,U000699,2024-12-28 20:41:00,mobile,East,direct,True,False,0,False,0
S00000119,U000081,2024-10-31 22:41:00,desktop,Central,google,True,True,3,False,0
S00000120,U000359,2024-12-05 12:45:00,mobile,West,organic,True,False,0,False,0
S00000121,U000411,2024-11-04 15:05:00,desktop,Central,organic,True,True,2,True,2
S00000122,U000704,2024-12-03 16:11:00,mobile,East,email,True,False,0,False,0
S00000123,U000380,2024-10-14 14:28:00,mobile,Central,organic,False,False,0,False,0
S00000124,U000481,2024-10-06 14:14:00,mobile,Central,direct,False,True,3,True,1
S00000125,U000686,2024-11-08 14:54:00,desktop,East,organic,False,True,1,False,0
S00000126,U000773,2024-11-25 20:46:00,desktop,Central,direct,False,False,0,False,0
S00000127,U000791,2024-10-01 05:14:00,mobile,West,google,False,True,2,False,0
S00000128,U000685,2024-12-28 16:28:00,desktop,East,email,False,False,0,False,0
S00000129,U000557,2024-11-13 20:23:00,mobile,North,facebook,False,False,0,False,0
S00000130,U000725,2024-12-23 03:08:00,desktop,Central,facebook,True,False,0,False,0
S00000131,U000319,2024-12-11 10:12:00,mobile,East,facebook,True,False,0,False,0
S00000132,U000087,2024-11-02 05:40:00,mobile,West,direct,True,False,0,False,0
S00000133,U000241,2024-11-01 14:15:00,mobile,South,google,False,True,1,True,1
S00000134,U000089,2024-10-30 00:12:00,desktop,South,email,True,True,2,True,1
S00000135,U000008,2024-11-13 16:39:00,tablet,North,facebook,False,False,0,False,0
S00000136,U000110,2024-10-08 07:49:00,desktop,East,email,False,False,0,False,0
S00000137,U000126,2024-10-04 05:57:00,desktop,South,google,False,False,0,False,0
S00000138,U000121,2024-12-21 21:11:00,mobile,West,facebook,True,True,1,False,0
S00000139,U000722,2024-11-22 22:31:00,mobile,North,google,False,False,0,False,0
S00000140,U000352,2024-10-28 09:50:00,desktop,North,email,False,True,3,True,2
S00000141,U000381,2024-11-30 23:19:00,tablet,South,email,False,False,0,False,0
S00000142,U000417,2024-11-05 20:33:00,desktop,South,direct,False,False,0,False,0
S00000143,U000020,2024-11-27 21:11:00,desktop,East,email,False,False,0,False,0
S00000144,U000292,2024-12-26 09:43:00,desktop,Central,google,False,False,0,False,0
S00000145,U000144,2024-11-29 14:13:00,mobile,North,google,False,True,3,False,0
S00000146,U000286,2024-10-05 00:39:00,mobile,East,google,False,True,2,True,1
S00000147,U000512,2024-10-10 11:29:00,mobile,West,google,True,True,3,False,0
S00000148,U000631,2024-11-06 14:36:00,desktop,West,email,False,False,0,False,0
S00000149,U000510,2024-10-06 11:58:00,mobile,South,organic,True,True,3,True,1
S00000150,U000011,2024-12-09 04:52:00,mobile,Central,google,True,True,3,False,0
S00000151,U000222,2024-11-12 01:24:00,mobile,East,google,False,False,0,False,0
S00000152,U000745,2024-11-13 05:19:00,desktop,South,organic,True,True,3,True,2
S00000153,U000118,2024-10-29 05:04:00,tablet,South,organic,False,True,2,False,0
S00000154,U000000,2024-10-17 07:46:00,mobile,Central,facebook,False,True,1,False,0
S00000155,U000088,2024-12-29 01:49:00,desktop,North,organic,False,True,3,False,0
S00000156,U000453,2024-12-14 03:33:00,tablet,Central,email,False,True,3,False,0
S00000157,U000724,2024-12-14 00:23:00,mobile,West,facebook,True,False,0,False,0
S00000158,U000496,2024-10-15 20:18:00,mobile,South,facebook,False,True,2,True,2
S00000159,U000327,2024-12-13 01:45:00,desktop,West,organic,False,False,0,False,0
S00000160,U000299,2024-10-26 11:04:00,mobile,East,email,False,False,0,False,0
S00000161,U000020,2024-12-09 13:49:00,mobile,Central,email,False,False,0,False,0
S00000162,U000786,2024-10-25 03:10:00,mobile,Central,facebook,False,True,1,True,2
S00000163,U000657,2024-10-27 14:27:00,mobile,Central,google,False,True,1,False,0
S00000164,U000158,2024-12-14 06:30:00,desktop,North,facebook,False,False,0,False,0
S00000165,U000171,2024-11-11 23:35:00,mobile,South,organic,False,True,1,False,0
S00000166,U000009,2024-10-22 21:20:00,mobile,North,email,False,True,1,True,2
S00000167,U000166,2024-11-06 03:49:00,desktop,South,email,False,False,0,False,0
S00000168,U000225,2024-12-13 00:54:00,mobile,Central,organic,False,True,1,False,0
S00000169,U000589,2024-10-15 02:27:00,desktop,North,google,True,False,0,False,0
S00000170,U000166,2024-10-02 02:06:00,desktop,East,direct,False,True,2,True,1
S00000171,U000035,2024-12-07 05:41:00,mobile,North,facebook,False,False,0,False,0
S00000172,U000560,2024-12-12 07:32:00,desktop,West,email,True,True,3,True,2
S00000173,U000380,2024-10-21 07:37:00,mobile,South,direct,False,False,0,False,0
S00000174,U000661,2024-10-02 05:16:00,desktop,West,direct,False,True,1,True,1
S00000175,U000011,2024-11-16 22:15:00,mobile,West,direct,False,True,3,False,0
S00000176,U000247,2024-10-16 12:22:00,desktop,North,facebook,False,True,2,False,0
S00000177,U000549,2024-10-22 17:07:00,mobile,Central,organic,False,True,1,False,0
S00000178,U000448,2024-10-23 17:44:00,mobile,West,organic,False,True,2,False,0
S00000179,U000142,2024-12-07 17:54:00,tablet,Central,google,True,False,0,False,0
S00000180,U000157,2024-10-12 14:48:00,desktop,East,email,True,False,0,False,0
S00000181,U000465,2024-11-21 13:08:00,tablet,South,facebook,True,True,1,True,2
S00000182,U000109,2024-10-25 21:32:00,desktop,Central,google,False,False,0,False,0
S00000183,U000536,2024-11-10 05:24:00,mobile,Central,google,False,True,1,True,1
S00000184,U000671,2024-12-17 19:17:00,mobile,South,facebook,True,False,0,False,0
S00000185,U000641,2024-12-22 18:04:00,mobile,South,organic,False,False,0,False,0
S00000186,U000155,2024-11-25 14:08:00,mobile,East,organic,False,True,1,True,2
S00000187,U000220,2024-10-04 06:39:00,desktop,West,email,False,False,0,False,0
S00000188,U000482,2024-11-19 04:51:00,mobile,West,google,False,False,0,False,0
S00000189,U000404,2024-12-10 04:21:00,mobile,Central,email,False,True,2,True,2
S00000190,U000492,2024-11-08 04:00:00,tablet,South,organic,True,False,0,False,0
S00000191,U000702,2024-11-01 03:16:00,mobile,Central,google,True,False,0,False,0
S00000192,U000226,2024-12-07 01:51:00,mobile,West,email,True,False,0,False,0
S00000193,U000016,2024-11-11 20:41:00,desktop,North,facebook,False,False,0,False,0
S00000194,U000231,2024-11-29 15:28:00,mobile,East,google,True,False,0,False,0
S00000195,U000172,2024-10-08 21:07:00,mobile,West,google,True,False,0,False,0
S00000196,U000620,2024-10-08 12:07:00,desktop,East,organic,True,False,0,False,0
S00000197,U000227,2024-10-05 19:20:00,mobile,East,facebook,False,False,0,False,0
S00000198,U000351,2024-10-28 18:42:00,mobile,South,organic,False,False,0,False,0
S00000199,U000560,2024-12-20 07:39:00,mobile,West,email,False,True,1,True,1
S00000200,U000373,2024-12-01 17:09:00,mobile,West,organic,False,True,2,False,0
S00000201,U000123,2024-10-15 16:39:00,mobile,South,direct,False,True,2,True,2
S00000202,U000121,2024-12-24 11:31:00,desktop,North,organic,False,True,3,False,0
S00000203,U000301,2024-10-18 20:12:00,desktop,West,organic,True,False,0,False,0
S00000204,U000780,2024-12-25 21:42:00,mobile,Central,facebook,True,False,0,False,0
S00000205,U000277,2024-11-21 17:30:00,desktop,Central,facebook,False,True,3,True,1
S00000206,U000280,2024-10-19 22:28:00,desktop,South,facebook,True,False,0,False,0
S00000207,U000103,2024-12-11 00:43:00,mobile,South,facebook,False,False,0,False,0
S00000208,U000065,2024-12-28 09:20:00,mobile,Central,google,False,False,0,False,0
S00000209,U000013,2024-11-05 21:41:00,desktop,Central,google,False,True,3,False,0
S00000210,U000100,2024-10-16 18:30:00,mobile,Central,facebook,True,False,0,False,0
S00000211,U000404,2024-10-10 23:53:00,mobile,West,organic,False,True,1,True,2
S00000212,U000727,2024-10-17 22:06:00,mobile,South,facebook,False,False,0,False,0
S00000213,U000158,2024-10-04 23:23:00,mobile,East,google,False,False,0,False,0
S00000214,U000116,2024-12-22 21:23:00,desktop,East,google,True,False,0,False,0
S00000215,U000475,2024-11-24 16:54:00,desktop,East,facebook,True,True,2,True,1
S00000216,U000398,2024-11-02 16:05:00,mobile,West,google,False,False,0,False,0
S00000217,U000618,2024-10-09 15:04:00,mobile,Central,facebook,True,True,3,True,1
S00000218,U000348,2024-11-20 20:18:00,mobile,West,email,True,True,2,False,0
S00000219,U000640,2024-12-03 04:35:00,desktop,West,email,True,True,2,False,0
S00000220,U000547,2024-11-15 11:59:00,mobile,West,organic,False,False,0,False,0
S00000221,U000399,2024-12-25 06:34:00,desktop,South,email,True,False,0,False,0
S00000222,U000249,2024-12-09 11:08:00,desktop,Central,google,False,True,1,True,1
S00000223,U000147,2024-10-07 05:14:00,mobile,Central,organic,True,False,0,False,0
S00000224,U000304,2024-10-14 04:57:00,mobile,North,direct,False,True,1,False,0
S00000225,U000326,2024-11-30 08:32:00,desktop,North,google,True,True,1,True,1
S00000226,U000609,2024-10-28 10:40:00,mobile,South,google,False,False,0,False,0
S00000227,U000143,2024-12-24 04:01:00,mobile,Central,facebook,False,True,3,True,2
S00000228,U000031,2024-11-07 09:34:00,mobile,West,google,True,False,0,False,0
S00000229,U000725,2024-12-07 13:51:00,mobile,East,direct,False,True,2,False,0
S00000230,U000043,2024-10-28 16:01:00,desktop,West,email,True,False,0,False,0
S00000231,U000306,2024-11-08 19:22:00,mobile,West,google,False,True,1,False,0
S00000232,U000237,2024-11-05 04:20:00,desktop,South,google,True,False,0,False,0
S00000233,U000258,2024-12-09 11:01:00,desktop,East,direct,True,False,0,False,0
S00000234,U000687,2024-11-02 00:54:00,mobile,West,email,True,False,0,False,0
S00000235,U000108,2024-10-19 08:11:00,tablet,Central,facebook,False,True,2,False,0
S00000236,U000536,2024-10-04 05:57:00,mobile,West,facebook,False,True,2,True,2
S00000237,U000433,2024-10-05 02:27:00,mobile,West,google,False,False,0,False,0
S00000238,U000130,2024-10-11 01:46:00,desktop,South,organic,False,True,2,True,2
S00000239,U000313,2024-11-02 20:34:00,desktop,North,email,True,True,3,True,2
S00000240,U000065,2024-10-15 02:32:00,mobile,West,facebook,True,False,0,False,0
S00000241,U000639,2024-12-09 08:19:00,desktop,West,email,True,False,0,False,0
S00000242,U000301,2024-11-16 05:14:00,desktop,West,email,True,True,3,True,1
S00000243,U000218,2024-12-16 14:17:00,desktop,East,google,False,False,0,False,0
S00000244,U000546,2024-11-15 05:13:00,mobile,East,google,False,False,0,False,0
S00000245,U000661,2024-10-25 07:23:00,desktop,East,direct,True,False,0,False,0
S00000246,U000062,2024-10-03 09:18:00,desktop,West,email,False,True,3,False,0
S00000247,U000464,2024-11-16 19:13:00,mobile,North,google,True,True,1,True,2
S00000248,U000040,2024-12-14 20:34:00,mobile,West,email,True,False,0,False,0
S00000249,U000254,2024-10-02 08:45:00,mobile,Central,email,True,False,0,False,0
S00000250,U000468,2024-11-17 11:34:00,desktop,Central,organic,True,False,0,False,0
S00000251,U000323,2024-12-06 11:32:00,desktop,South,email,False,False,0,False,0
S00000252,U000173,2024-12-04 07:44:00,desktop,North,google,False,True,1,False,0
S00000253,U000668,2024-10-22 07:20:00,desktop,West,organic,False,False,0,False,0
S00000254,U000346,2024-10-22 11:44:00,desktop,North,organic,False,True,2,True,2
S00000255,U000282,2024-12-25 17:16:00,mobile,West,google,True,False,0,False,0
S00000256,U000431,2024-11-26 12:48:00,mobile,North,google,False,False,0,False,0
S00000257,U000601,2024-11-18 13:48:00,mobile,Central,facebook,True,True,2,True,2
S00000258,U000788,2024-11-23 08:08:00,mobile,North,organic,False,True,3,False,0
S00000259,U000018,2024-10-19 10:12:00,mobile,Central,facebook,False,True,1,True,2
S00000260,U000519,2024-11-02 12:25:00,desktop,Central,email,False,False,0,False,0
S00000261,U000638,2024-11-18 14:19:00,desktop,Central,organic,False,True,1,True,1
S00000262,U000201,2024-12-15 18:14:00,mobile,East,facebook,False,True,2,False,0
S00000263,U000453,2024-12-21 18:53:00,mobile,South,google,True,True,3,True,2
S00000264,U000234,2024-11-09 01:16:00,mobile,Central,google,False,False,0,False,0
S00000265,U000293,2024-12-24 16:30:00,desktop,East,google,False,False,0,False,0
S00000266,U000187,2024-11-14 22:08:00,mobile,East,google,True,False,0,False,0
S00000267,U000117,2024-11-13 14:40:00,desktop,North,google,False,True,2,False,0
S00000268,U000192,2024-11-25 04:06:00,tablet,East,organic,True,False,0,False,0
S00000269,U000394,2024-11-29 17:27:00,mobile,Central,google,True,True,2,False,0
S00000270,U000375,2024-12-04 03:48:00,tablet,East,direct,True,False,0,False,0
S00000271,U000261,2024-10-04 13:53:00,desktop,Central,organic,False,True,1,True,2
S00000272,U000707,2024-11-06 09:59:00,tablet,North,direct,True,False,0,False,0
S00000273,U000277,2024-12-16 14:51:00,desktop,Central,google,True,False,0,False,0
S00000274,U000553,2024-10-13 01:44:00,desktop,Central,organic,False,False,0,False,0
S00000275,U000498,2024-12-24 13:43:00,mobile,Central,google,True,False,0,False,0
S00000276,U000103,2024-10-11 03:50:00,mobile,South,google,False,False,0,False,0
S00000277,U000658,2024-12-24 07:27:00,mobile,East,direct,False,False,0,False,0
S00000278,U000486,2024-10-11 21:44:00,mobile,North,facebook,False,True,1,False,0
S00000279,U000303,2024-11-15 11:05:00,mobile,West,email,True,False,0,False,0
S00000280,U000406,2024-11-24 03:37:00,mobile,East,direct,False,False,0,False,0
S00000281,U000750,2024-12-20 18:52:00,desktop,Central,google,False,True,3,False,0
S00000282,U000736,2024-12-12 07:51:00,desktop,East,google,True,False,0,False,0
S00000283,U000113,2024-12-06 04:12:00,mobile,Central,organic,False,True,3,False,0
S00000284,U000203,2024-11-23 09:41:00,desktop,East,organic,False,False,0,False,0
S00000285,U000112,2024-11-26 14:34:00,mobile,East,facebook,False,False,0,False,0
S00000286,U000187,2024-10-25 04:00:00,desktop,North,email,True,True,2,False,0
S00000287,U000413,2024-12-02 07:22:00,mobile,East,google,False,True,3,True,2
S00000288,U000357,2024-11-29 12:44:00,mobile,North,google,False,True,2,True,2
S00000289,U000183,2024-10-16 05:59:00,mobile,West,email,True,False,0,False,0
S00000290,U000732,2024-12-06 07:22:00,desktop,North,google,False,True,2,False,0
S00000291,U000030,2024-11-22 12:20:00,desktop,South,facebook,True,True,2,False,0
S00000292,U000052,2024-11-21 19:31:00,desktop,West,organic,False,False,0,False,0
S00000293,U000759,2024-12-26 07:17:00,desktop,East,organic,False,True,1,False,0
S00000294,U000725,2024-12-18 16:57:00,desktop,South,google,False,False,0,False,0
S00000295,U000576,2024-10-06 04:43:00,mobile,North,email,False,True,2,True,1
S00000296,U000420,2024-11-20 12:18:00,mobile,South,facebook,False,True,3,False,0
S00000297,U000012,2024-12-28 23:54:00,mobile,West,organic,True,True,3,False,0
S00000298,U000292,2024-10-25 08:20:00,mobile,Central,google,False,False,0,False,0
S00000299,U000235,2024-10-28 08:34:00,mobile,North,organic,False,True,1,True,1
S00000300,U000099,2024-10-31 01:15:00,desktop,Central,organic,False,False,0,False,0
S00000301,U000027,2024-10-09 23:07:00,tablet,West,google,False,False,0,False,0
S00000302,U000312,2024-11-23 21:00:00,desktop,South,google,False,True,3,True,1
S00000303,U000397,2024-12-13 13:12:00,mobile,North,facebook,False,True,2,True,1
S00000304,U000739,2024-10-12 21:51:00,mobile,South,facebook,True,False,0,False,0
S00000305,U000794,2024-12-23 22:27:00,desktop,South,email,True,True,2,True,1
S00000306,U000054,2024-11-03 04:05:00,desktop,West,facebook,False,True,3,True,1
S00000307,U000224,2024-12-16 06:35:00,desktop,Central,google,False,True,3,False,0
S00000308,U000078,2024-10-29 08:28:00,mobile,West,organic,True,False,0,False,0
S00000309,U000433,2024-12-29 07:08:00,desktop,West,email,True,False,0,False,0
S00000310,U000393,2024-10-17 11:06:00,mobile,East,organic,True,False,0,False,0
S00000311,U000048,2024-11-22 07:39:00,tablet,West,google,False,True,3,False,0
S00000312,U000458,2024-11-15 17:25:00,mobile,North,direct,True,True,3,False,0
S00000313,U000209,2024-10-15 20:45:00,desktop,Central,google,True,True,3,False,0
S00000314,U000720,2024-10-06 07:43:00,tablet,Central,google,False,False,0,False,0
S00000315,U000251,2024-10-28 11:05:00,tablet,East,direct,True,False,0,False,0
S00000316,U000310,2024-12-15 10:36:00,mobile,South,direct,False,False,0,False,0
S00000317,U000244,2024-10-04 11:50:00,tablet,South,email,False,True,1,False,0
S00000318,U000592,2024-10-08 03:46:00,mobile,South,email,True,False,0,False,0
S00000319,U000511,2024-12-25 11:08:00,desktop,East,organic,False,False,0,False,0
S00000320,U000789,2024-11-11 07:01:00,mobile,North,google,False,False,0,False,0
S00000321,U000545,2024-10-13 12:09:00,tablet,North,email,False,True,1,False,0
S00000322,U000624,2024-12-06 19:19:00,mobile,South,google,False,False,0,False,0
S00000323,U000081,2024-10-18 12:51:00,desktop,South,direct,False,False,0,False,0
S00000324,U000714,2024-10-26 12:19:00,desktop,Central,organic,True,False,0,False,0
S00000325,U000255,2024-10-17 21:33:00,mobile,East,google,False,True,2,True,1
S00000326,U000153,2024-10-19 12:59:00,desktop,Central,email,False,False,0,False,0
S00000327,U000552,2024-10-23 09:19:00,mobile,West,facebook,False,True,3,False,0
S00000328,U000039,2024-12-07 14:34:00,mobile,West,facebook,False,True,2,False,0
S00000329,U000247,2024-10-04 02:33:00,mobile,Central,organic,False,False,0,False,0
S00000330,U000649,2024-11-22 08:56:00,mobile,Central,google,False,True,3,True,2
S00000331,U000419,2024-11-20 21:46:00,desktop,Central,email,True,True,2,False,0
S00000332,U000495,2024-11-19 04:24:00,tablet,West,direct,True,True,2,True,1
S00000333,U000201,2024-11-23 20:07:00,mobile,South,email,False,True,1,True,1
S00000334,U000435,2024-10-11 09:21:00,desktop,East,email,True,False,0,False,0
S00000335,U000782,2024-12-04 18:35:00,desktop,East,email,False,True,3,True,1
S00000336,U000261,2024-11-08 16:33:00,desktop,Central,email,False,True,3,True,1
S00000337,U000473,2024-12-15 15:46:00,mobile,West,google,False,False,0,False,0
